questions	answers
who played bubba in the tv series in the heat of the night	Carlos Alan Autry Jr. (also known for a period of time as Carlos Brown; born July 31, 1952), is an American actor, politician, and former National Football League player.
where did the 2017 tour de france start	The 3,540 km (2,200 mi)-long race commenced with an individual time trial in DÃ¼sseldorf, Germany on 1 July, and concluded with the Champs-Ã‰lysÃ©es stage in Paris on 23 July.
who is the chess champion of the world	Current world champion Magnus Carlsen won the World Chess Championship 2013 against Viswanathan Anand and successfully defended his title against Anand in the World Chess Championship 2014 and against Sergey Karjakin in the World Chess Championship 2016.
who scored the most hat tricks in football	Cristiano Ronaldo and Messi have scored three or more goals seven times in the Champions League, more than any other player.
what do you need to be an ontario scholar	Ontario Scholars are high school graduates in the Canadian province of Ontario who attain an average of 80 % or greater in their six best Grade 12 courses.
what were the goals of european leaders at the congress of vienna	The Congress of Vienna (German: Wiener Kongress) also called Vienna Congress, was a meeting of ambassadors of European states chaired by Austrian statesman Klemens von Metternich, and held in Vienna from November 1814 to June 1815, though the delegates had arrived and were already negotiating by late September 1814. The objective of the Congress was to provide a long-term peace plan for Europe by settling critical issues arising from the French Revolutionary Wars and the Napoleonic Wars. The goal was not simply to restore old boundaries but to resize the main powers so they could balance each other and remain at peace. The leaders were conservatives with little use for republicanism or revolution, both of which threatened to upset the status quo in Europe. France lost all its recent conquests while Prussia, Austria and Russia made major territorial gains. Prussia added smaller German states in the west, Swedish Pomerania and 60 % of the Kingdom of Saxony; Austria gained Venice and much of northern Italy. Russia gained parts of Poland. The new Kingdom of the Netherlands had been created just months before, and included formerly Austrian territory that in 1830 became Belgium.
is there a sequel to the golden compass film	In 2011, Philip Pullman remarked at the British Humanist Association annual conference that due to the first film's disappointing sales in the United States, there would not be any sequels made.
where does the jungle book movie take place	'' Favreau also decided to change King Louie from an orangutan to a Gigantopithecus due to the fact that orangutans are not native to India, where the story takes place.
who played plummet in beauty and the beast	In the 2017 live-action film, she is portrayed by Gugu Mbatha-Raw and is called Plumette and was transformed into a swan-shaped feather duster.
if pluto is a dog what is goofy	Disney has dealt with a certain amount of confusion concerning the fact that Pluto (an ordinary dog) is treated as a household pet while the anthropomorphic Goofy is treated as a human despite being of the same species. On their web site, it stated that ``Goofy was originally created as Dippy Dawg'' and ``was created as a human character, as opposed to Pluto who was a pet, so (Goofy) walked upright and had a speaking voice''.
what year did the red sox break the curse	Talk of the curse as an ongoing phenomenon ended in 2004, when the Red Sox came back from a 0--3 best-of-seven deficit to beat the Yankees in the 2004 American League Championship Series (ALCS) and then went on to sweep the St. Louis Cardinals to win the 2004 World Series.
where is the date on a dollar bill	To the left of the Secretary's signature is the series date.
who did mercer and mancini write the song moon river for	Mercer and Mancini wrote the song for Audrey Hepburn to sing in the film Breakfast at Tiffany's.
who did the song going to the chapel	``Chapel of Love'' is a song written by Jeff Barry, Ellie Greenwich and Phil Spector, and made famous by The Dixie Cups in 1964, spending three weeks at number one on the Billboard Hot 100.
how old was the quuen mother when she died	Elizabeth Angela Marguerite Bowes-Lyon (4 August 1900--30 March 2002) was the wife of King George VI and the mother of Queen Elizabeth II and Princess Margaret, Countess of Snowdon.
when does direct tv nfl ticket contract expires	Satellite TV provider DirecTV has exclusive rights to the NFL Sunday Ticket package in the United States until the end of the 2022--23 NFL season.
which hawaiian island is the volcano eruption on	KÄ«lauea (/ ËŒkiËlaÊŠËˆeÉªÉ™ /, US: / ËŒkÉªlÉ™ËˆweÉªÉ™ /; Hawaiian: (tiËlÉwËˆwÉ›jÉ™)) is a currently active shield volcano in the Hawaiian Islands, and the most active of the five volcanoes that together form the island of Hawai Ê»i. Located along the southern shore of the island, the volcano is between 300,000 and 600,000 years old and emerged above sea level about 100,000 years ago.
where is the poison located in a snake	The glands that secrete the zootoxins are a modification of the parotid salivary gland found in other vertebrates, and are usually situated on each side of the head, below and behind the eye, and encapsulated in a muscular sheath. The glands have large alveoli in which the synthesized venom is stored before being conveyed by a duct to the base of channeled or tubular fangs through which it is ejected.
who does the voice of korben dallas mother	Haviland Morris (born September 14, 1959) is an American film, television, and Broadway actress, who currently works in real estate.
who plays gus waters in the fault in our stars	Ansel Elgort (born March 14, 1994) is an American actor, singer and a DJ (under the name AnsÃ¸lo).
point in the earth's orbit nearest to the sun	The perihelion (/ ËŒpÉ›rÉªËˆhiËliÉ™n /) of any orbit of a celestial body about the Sun is the point where the body comes closest to the Sun.
which united states president outlined four freedoms in a state of the union address	Engraving of the Four Freedoms at the Franklin Delano Roosevelt Memorial in Washington, D.C. The Four Freedoms were goals articulated by United States President Franklin D. Roosevelt on Monday, January 6, 1941.
where is the upper east side of nyc	The Upper East Side is a neighborhood in the borough of Manhattan in New York City, between Central Park / Fifth Avenue, 59th Street, the East River, and 96th Street.
the supreme court's ruling in furman v. georgia revolved around	Several statutes that mandated bifurcated trials, with separate guilt-innocence and sentencing phases, and imposing standards to guide the discretion of juries and judges in imposing capital sentences, were upheld in a series of Supreme Court decisions in 1976, led by Gregg v. Georgia.
who did the dodgers get for pedro martinez	With the Dodgers in need of a second baseman after a contract dispute with Jody Reed, MartÃ­nez was traded to the Montreal Expos for Delino DeShields before the 1994 season.
who was the first person to live in south africa	It was inhabited by Australopithecines since at least 2.5 million years ago.
which territory held a referendum on independence from the united kingdom on 18 september 2014	A referendum on Scottish independence from the United Kingdom took place on Thursday 18 September 2014.
where was the last person hung in england	England and in the United Kingdom: on 13 August 1964, Peter Anthony Allen, at Walton Prison in Liverpool, and Gwynne Owen Evans, at Strangeways Prison in Manchester, were executed for the murder of John Alan West on 7 April that year.
